[10/14/18 23:49:41] [INFO] received Windows console close event; shutting log-core down
[10/14/18 23:50:26] [INFO] received Windows console close event; shutting log-core down
[10/14/18 23:56:05] [INFO] received Windows console close event; shutting log-core down
[10/15/18 00:15:12] [INFO] received Windows console close event; shutting log-core down
[10/15/18 00:15:31] [INFO] received Windows console close event; shutting log-core down
[10/15/18 00:16:52] [INFO] received Windows console close event; shutting log-core down
[10/15/18 00:17:27] [INFO] received Windows console close event; shutting log-core down
[10/15/18 00:18:21] [INFO] received Windows console close event; shutting log-core down
[10/15/18 00:19:52] [INFO] received Windows console close event; shutting log-core down
[10/15/18 00:20:11] [INFO] received Windows console close event; shutting log-core down
[10/15/18 00:21:59] [INFO] received Windows console close event; shutting log-core down
[10/15/18 00:26:05] [INFO] received Windows console close event; shutting log-core down
[10/15/18 00:27:48] [INFO] received Windows console close event; shutting log-core down
[10/15/18 00:51:42] [INFO] received Windows console close event; shutting log-core down
[10/15/18 00:52:19] [INFO] received Windows console close event; shutting log-core down
[10/15/18 00:56:19] [INFO] received Windows console close event; shutting log-core down
